name,role,scope,classification,cutover_action,rationale,identical,sha256_plugin,sha256_vault,bytes_plugin,bytes_vault,bytes_delta,model_plugin,model_vault,plugin_hash_changed_since_phase0,vault_hash_changed_since_phase0,vault_residue_markers,filename_plugin,filename_vault,classification_sugerida_phase0
candido-cdo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,19e88188878615a772727e0c61c5e452415aa7061f138808f3556e7b2557e274,f96502d86af88b541c7c46957db2c172f5f9669f4b6af37d2a0b9181980fccc2,5427,4006,1421,opus,opus,no,no,identity_lider;wikilinks,candido-cdo.md,candido-cdo.md,CORE-GENERIC
capitolino-cpo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,76215766648fdb1935b4a656bca8de530c12da125632923e0a25e205c9f7b19d,513d4320674f726fbb41560345d68f4315646f4203900a34e9754e501664f7db,5758,4324,1434,opus,opus,no,no,identity_lider;wikilinks,capitolino-cpo.md,capitolino-cpo.md,CORE-GENERIC
celso-ceo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,8193801e790479706ad56df7246aec38ad78db69f13ed8e5ba8841223cf988aa,2b9694d4e4d64221615d3ddf039457cbf626799afafbcf3f9291637677666353,5729,4141,1588,opus,opus,no,no,identity_lider;wikilinks,celso-ceo.md,celso-ceo.md,CORE-GENERIC
cicero-cro,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,44df3d19b50ccc7acdefa73aa6c8ce6777e0081d894d5994e22074fd646f40fa,2e37d19be4ec1c7d6aa3fa52e2326cc82a531e4b587c8b925bf9b6cea4a81349,4786,3486,1300,opus,opus,no,no,identity_lider;wikilinks,cicero-cro.md,cicero-cro.md,CORE-GENERIC
claudio-clo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,bf69bc90379ccf949706a3d3e387abbc17db6354f615ec97b8ed7616dea6cad0,74ac1657a761163f24f4e37743da66ee7b459d4c853c75a41228a7913a938013,5258,3965,1293,opus,opus,no,no,identity_lider;wikilinks,claudio-clo.md,claudio-clo.md,CORE-GENERIC
community-manager,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,fe263034af5c6945705381d2396e5304ba99db0d6f96278aebddae8a73333e14,afcdefb90de0757b8407fc72696ed2aeb122a50aa0c22ccddd31a2c293dec7e9,4102,3253,849,opus,opus,no,no,identity_lider;wikilinks,community-manager.md,community-manager.md,CORE-GENERIC
compliance-legal,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,22f6ea173af774687f7a526a6f6c43cbad0e21de2ae6782786dd70c7f7c0940a,63019c3e68c649a290d61162c2762b68fcc81a58000d57aab1077a6e6b9b0797,21452,19961,1491,opus,opus,no,no,identity_lider;wikilinks,compliance-legal.md,compliance-legal.md,CORE-GENERIC
confucio-cfo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,700139c4d1628a5b78dd51b01447a93cae23e434fad49fe12f193fa396964535,9d7ee7c2033c2a85f454d0007a18a5f6d643fad29833bae93eee522b5f6f6c20,4723,3409,1314,opus,opus,no,no,identity_lider;wikilinks,confucio-cfo.md,confucio-cfo.md,CORE-GENERIC
content-seo,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,38aeef0e2907d52488bf8d4d512cdeed510dfb11ed87eeb033519bb56775dad3,1541d3012e487c53e1b2f4b0a1bda6f5185b6b406bf98f405d4c8f85643649b8,4649,3561,1088,opus,opus,no,no,identity_lider;wikilinks,content-seo.md,content-seo.md,CORE-GENERIC
cosimo-chief-of-staff,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,e389e5156e5ece59d91e6edede6aefcb1669bdbce8297fec23364d1d4174678a,36bef6ec07091128b6cf85ecfa85e883430dbb0c8251e9cdcf4f3d2981fd9fd5,8762,7180,1582,opus,opus,yes,no,identity_lider;wikilinks,cosimo-chief-of-staff.md,cosimo-chief-of-staff.md,CORE-GENERIC
cosmo-coo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,aae71cada142a2316d2bed31ea2b5f87e4bec56b9ce7534afcbd0e31bbc9e549,5430b7e80086e195992f7752e61d0cc7904578e770e1aaada601d8edf0f40b6b,5188,3932,1256,opus,opus,no,no,identity_lider;wikilinks,cosmo-coo.md,cosmo-coo.md,CORE-GENERIC
customer-success,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,df1ba299df0a526a5f2336c22dfa31d9ba70e693d9e4cf54d02dfc4be2043ede,e23536263b615a6948e3e9f1100b25088c9e55d523c1010cf8809ed053623523,4203,3359,844,opus,opus,no,no,identity_lider;wikilinks,customer-success.md,customer-success.md,CORE-GENERIC
data-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,11e93952927ed2009d484b68662db416eb078178ccc06f93fc12f8429eb1c019,7f3d8f04043d87f0a6073075128c557e4f4441588d24bf5b10e6a2f3562514c1,25478,24343,1135,opus,opus,no,no,identity_lider;wikilinks;caveman;qt23,data-engineer.md,data-engineer.md,CORE-GENERIC
data-scientist,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,970e44cf526e04683f0a506fe724a02d78dbf32d9659d058760e16f4cbccf9c9,8e48e4b6653b4a50f1dd040568425cc07ac5cab1c9c1669a963f205cc1e2b760,16988,15676,1312,opus,opus,no,no,identity_lider;wikilinks;caveman,data-scientist.md,data-scientist.md,CORE-GENERIC
devops-sre,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,e3e94a9215a220f5b426eb80a97f9ca79339bbd089da84fa16c0b843f33d78b8,fe596622ae90067fff44bb01bb77abbe0adda06775539f99906ed86220992c54,24314,22973,1341,opus,opus,yes,no,identity_lider;wikilinks;caveman,devops-sre.md,devops-sre.md,CORE-GENERIC
dr-advogado,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,pericia/juridico da casa (spec 2.2; ADR D8),,,1f81edd0bfb0ac69d8358af94dfe7bb392c92cf4a06179844bb436459c4fb983,,15995,,,opus,,no,identity_lider,,dr-advogado.md,PERSONAL-OVERLAY
dr-medico-perito,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,pericia medica da casa (spec 2.2; ADR D8),,,cb970d963fd1d5e56b2c34b05578ecfe2883dab9481e48081000474ec7c61761,,16485,,,opus,,no,identity_lider,,dr-medico-perito.md,PERSONAL-OVERLAY
dr-medico-psiquiatra,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,pericia medica da casa (spec 2.2; ADR D8),,,84dde3269dde19074b76e46bd75c0cf70fab39167ca36b7e348ab3b49b79ce05,,16751,,,opus,,no,identity_lider,,dr-medico-psiquiatra.md,PERSONAL-OVERLAY
dr-medico-trabalho,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,pericia medica da casa (spec 2.2; ADR D8),,,c82ccd60e46c614deeb64861ba70a77da990ce7a56b9b29cdadca604dbd829c1,,18170,,,opus,,no,identity_lider,,dr-medico-trabalho.md,PERSONAL-OVERLAY
economy-designer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,fc5d968746a13f661441fc3d2a8d01a862ed332a00a5bc9d171d3dded4f7f6ff,,12776,,,opus,,no,identity_lider,,economy-designer.md,INTENTIONAL-EXCLUSION
embedded-firmware-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,6804251d8ad6f59e329f8a9ae87981d4156b233ea380b5d0134e5870f56a7e99,38a2ad004d0c91ab9a043df404603d80301e9b07641b9bfa7b7820da13044cd7,16615,15066,1549,opus,opus,no,no,identity_lider,embedded-firmware-engineer.md,embedded-firmware-engineer.md,CORE-GENERIC
engine-graphics-programmer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,0d0ac79cc6182d1e2600d0e1839804fd6e91a5b180c418fa7ccda721cd003279,,13195,,,opus,,no,identity_lider,,engine-graphics-programmer.md,INTENTIONAL-EXCLUSION
engineering-coach,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,sobreposto a engineering-manager; fora do core 0.2.0 (ADR D8),,,1257b7d91def6db905bc05fd5c51963da5ef8ddf57e2eb94ec9d1d4caf10e933,,12672,,,opus,,no,identity_lider,,engineering-coach.md,PERSONAL-OVERLAY
engineering-manager,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,d8460052cb84f66d5d3a1aa3aa4d834f0da5bf5313b8dd07248a52807d1e8d45,79fc5d81b90429168825b0698d21f028afa5f548a29d88a36fdc1041932ff000,9395,8133,1262,opus,opus,no,no,identity_lider,engineering-manager.md,engineering-manager.md,CORE-GENERIC
frontend-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,0eee64511a0651fa26fd470a8e1c47c76ddef95eb8b810369ba0974517dc0f72,6fe6047bb88f14de3b45d13c98e80d3a394c6d81459862ce1f1f6f7ef6aea391,19986,18641,1345,opus,opus,no,no,identity_lider;wikilinks;caveman;brave;qt23,frontend-engineer.md,frontend-engineer.md,CORE-GENERIC
game-animator,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,2f51b871e1e375616298dbcd72539545984c33639408af823b263143798db300,,12969,,,opus,,no,identity_lider,,game-animator.md,INTENTIONAL-EXCLUSION
game-producer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,20ba08b3f4dd7ce85a201bdc435bbd8d7567ef5d6625df4ddf3dd326e0a3f537,,13673,,,opus,,no,identity_lider,,game-producer.md,INTENTIONAL-EXCLUSION
gameplay_engineer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,149443d33d9e9a8951c48710795edc5579484274d853602e97a4d23fd005de1d,,9162,,,opus,,no,identity_lider,,gameplay_engineer.md,INTENTIONAL-EXCLUSION
growth-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,fa05fc70a8a6704a071656a92eed4ad9a6b257225b6940c7ab2a343e1d99a7f8,8485b92f9e41d6163646aee94ff0f8f29cd4402667c22a117c98c53505914c57,4251,3183,1068,opus,opus,no,no,identity_lider;wikilinks,growth-engineer.md,growth-engineer.md,CORE-GENERIC
hardware-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,5a618451bb7cb2813c6782a1b496be950093f0528a24fa1b922a9c9b2aa78c93,5a3f2aac36fc04dac2763684763d2bc448795dfa435105157e101ab264301c7d,15702,14213,1489,opus,opus,no,no,identity_lider,hardware-engineer.md,hardware-engineer.md,CORE-GENERIC
i18n-l10n-specialist,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,b8e8920ef7c1a9f36541e311a5a77100e4738951da209de758277cf6fd590d83,81f6ea20f0d35fafedd1dc8410e00294b8749fdca1de64b5be903cf8da0578dd,16780,15822,958,opus,opus,no,no,identity_lider,i18n-l10n-specialist.md,i18n-l10n-specialist.md,CORE-GENERIC
internal-auditor,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,c99f8372fcdaea8b53afd22554f12cb6defeec088b4f6b098c0e70ae223ab08e,e335fc67e196e172723f1fe49e114da2bbedec596a2c6de9e73191613433305e,7773,6543,1230,opus,opus,no,no,identity_lider;wikilinks,internal-auditor.md,internal-auditor.md,CORE-GENERIC
lead-game-designer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,0ce39378b43544e2c191fde9db00147eca4b19bee90a1cabb373d16de2cfddbc,,12742,,,opus,,no,identity_lider,,lead-game-designer.md,INTENTIONAL-EXCLUSION
learning-designer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,pedagogico; fora do produto publico (spec 2.2),,,eea124c263f9700d803bf75326568d6d82d4cd9a4f1c6d8dd28b5538a8f83af9,,15125,,,opus,,no,identity_lider,,learning-designer.md,INTENTIONAL-EXCLUSION
level-designer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,0fbbb2a7a0ab708aef226ed10dc2a10318bdef4a6e6d2519d76b8e6234b64ca8,,12135,,,opus,,no,identity_lider,,level-designer.md,INTENTIONAL-EXCLUSION
linux-diag,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,utilitario de host (ADR D8),,,82925df662fd29a2060f7026f9b979309a28e81905150dd372132b2b77a77add,,4722,,,sonnet,,no,identity_lider;wikilinks,,linux-diag.md,PERSONAL-OVERLAY
ml-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,488b541b4c7fb53aef1bbaeb0afb8fe1c247af6214e5c3b286db77a86a6779c1,6ac7bf939891fd692f47825cd5019725989748f944b6ea38a65fc4825a365e18,15311,13844,1467,opus,opus,no,no,identity_lider;wikilinks,ml-engineer.md,ml-engineer.md,CORE-GENERIC
mobile-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,04a1934ffa06d85ddba6a27cf0aeaf9be4bbeb15c8bcecb18c6842cca845e9bd,700c054c39dbe03d6fae8bf02c84c4c422869850e91892111902ef19e004fade,13073,11774,1299,opus,opus,no,no,identity_lider;wikilinks,mobile-engineer.md,mobile-engineer.md,CORE-GENERIC
narciso-ciso,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,d7816e2ff241edc078788352d4f098bab0b6c071dedad5d9e559e6993236074e,845dcc100b487bc23bda5a84b739fa41769dec1f03bfb9bda11994063d2bd04f,5333,3843,1490,opus,opus,no,no,identity_lider;wikilinks,narciso-ciso.md,narciso-ciso.md,CORE-GENERIC
narrative-designer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,3bf1215f9bf5b81f600848fe35a2281f2c5fee68542a138c058390519609f07e,,19393,,,opus,,no,identity_lider,,narrative-designer.md,INTENTIONAL-EXCLUSION
narrative-writer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,literario/casa; fora do produto publico (spec 2.2),,,6c8be04c0e084b93f5bd84c823c51b8688c83662f79bafc0e74c17709af2f9c8,,23205,,,opus,,no,identity_lider,,narrative-writer.md,INTENTIONAL-EXCLUSION
network-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,6db0d478d731f568a457a71b79f4738c159070f90264897b82f0792a6d463fe6,5e9fae63c16048e93f631e6122c593b6fa24ad3e76745f95656bcec6d16fcc67,6157,4897,1260,opus,opus,no,no,identity_lider;wikilinks,network-engineer.md,network-engineer.md,CORE-GENERIC
network-security-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,2f984df2309f2e4fc016f01ae9938264e55ac3535e87ea23e9442a15600a4f46,936be2ec53021e8c01e2e0bc290c9c2e74e743cfa5c432eecbc9aa3648a998b3,6496,5174,1322,opus,opus,no,no,identity_lider;wikilinks,network-security-engineer.md,network-security-engineer.md,CORE-GENERIC
performance-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,c01da4aadb854cd8e8d24fd673942efd2777670f7c2677ef360894589e0f8999,48f64bd4f6729811a22005d86b09200e5701f43099c1d43d3b95926d2304991d,5560,4282,1278,opus,opus,no,no,identity_lider;wikilinks,performance-engineer.md,performance-engineer.md,CORE-GENERIC
pr-comms,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,ee543e56a0901a8a1ac8a5dd829ce0608b465763dd81a35f894bd8e3b4cea6f6,6a8355cb7df4e5f33eef5afca3ae138f2327aa9d6448835752608711b3f61a62,4032,3191,841,opus,opus,no,no,identity_lider;wikilinks,pr-comms.md,pr-comms.md,CORE-GENERIC
product-manager,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,707f41aae114c466d8bf099bf8cae2d0e726e70b238e926834d16ea38dbf667a,39e2633eb1e996a0620feff100a69efdf2a1ea919813a9ab6b974d80c6c42820,7869,6706,1163,opus,opus,no,no,identity_lider;caveman;qt23,product-manager.md,product-manager.md,CORE-GENERIC
product-marketing-manager,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,sobreposto a CMO+content-seo+pr-comms; fora do core 0.2.0 (ADR D8),,,99c24e98a1b37f1f594397fb19fe5559f95f3e586dad64067a3689587fd1a5d7,,3127,,,opus,,no,identity_lider;wikilinks,,product-marketing-manager.md,PERSONAL-OVERLAY
qa-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,13d695ece98865dcb85916a01fd173cf876d850772281317266230a5945acbb5,27802798d35f01cd9e6e7a41aa02c5b61652bcaa0e6480745235b9c7026b3a8a,21428,20049,1379,opus,opus,yes,no,identity_lider;wikilinks;caveman;brave,qa-engineer.md,qa-engineer.md,CORE-GENERIC
release-manager,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,a4875ee90eb2d41a0318681ce76ad519ef8139c29788a52bb7329b7d2da385fa,81894efc12de5a7e27b921473dc4f17b85b518e34c73bdb2d7867c8374309248,4747,3810,937,opus,opus,no,no,identity_lider;wikilinks,release-manager.md,release-manager.md,CORE-GENERIC
